index,training_iteration,mean_loss,mean_reward_target_window,epsilon,episode_mean_reward,makespan,cost,deadline_success_rate,budget_success_rate,both_success_rate,loss_outlier_removed,loss_smoothed,estimated_episode_1_200
18,1800,0.1639233057945966,tensor(0.5807),0.4125039631431931,0.8761066794395447,277234.7720111215,15.049699999999993,32.74177655136301,0.3272385301152423,0.0,,0.10410883880990078,2.4544282029234736
19,1900,0.1580618925392627,tensor(0.3628),0.3928736132199562,0.871666669845581,490541.36413296417,137.0880999999999,2.98364766933488,0.087053328761208,0.0,,0.10466069276355712,2.5399828030954428
20,2000,0.1643437135964632,tensor(0.3022),0.3742006467597279,0.8301784992218018,500842.1646601629,33.71359999999997,36.36432157789303,1.239470588235293,0.0,,0.10520496296892896,2.625537403267412
21,2100,0.173703284189105,tensor(0.4617),0.3564383716200437,0.8751561641693115,60030.00373503982,64.27629999999999,0.3737823121030419,0.3200373431587333,1.0,,0.10574183667906037,2.711092003439381
22,2200,0.1910443157702684,tensor(0.5720),0.3395423728610988,0.831651508808136,105997.63019756955,27.9315,11.780970217660464,0.3507660429486374,0.0,,0.10627149652346346,2.79664660361135
23,2300,0.1739565494656562,tensor(0.5784),0.3234704016852626,0.8754428625106812,185383.12307692308,36.93499999999999,3.4204171937723378,0.0991836515481081,0.0,,0.10679412062227966,2.882201203783319
24,2400,0.1839141995459795,tensor(0.6276),0.3081822697930801,0.9295483231544496,258363.1907949944,72.35779999999997,1.551582054231761,0.4956353174874989,0.0,,0.10730988269762223,2.967755803955288
25,2500,0.187507694363594,tensor(0.7021),0.2936397488915881,0.8769051432609558,266768.0472052507,61.6414,1.7410558837230266,0.0719059784193642,0.0,,0.10781895218216955,3.053310404127257
26,2600,0.1818281398713588,tensor(0.6993),0.2798064751036724,0.8643399477005005,266852.76979481825,44.82179999999997,21.70309320113587,0.2069812976217961,0.0,,0.10832149432507704,3.1388650042992263
27,2700,0.1779222673177719,tensor(0.7183),0.2666478580394326,0.8270862102508545,268301.99320463283,33.38619999999999,19.20891043435104,0.1221550620174892,0.0,,0.10881767029527407,3.224419604471195
28,2800,0.1925537003576755,tensor(0.6926),0.2541309943021904,0.8292224407196045,320871.1452579549,74.26319999999998,1.9472577957423551,0.1471986680145091,0.0,,0.10930763728221031,3.309974204643164
29,2900,0.1741380774974823,tensor(0.7946),0.2422245852128597,0.8406928181648254,328413.3060240964,33.3863,37.43851861921945,0.3593789020452099,0.0,,0.1097915485941144,3.3955288048151333
30,3000,0.1719728216528892,tensor(0.5641),0.2308988585469455,0.8585938215255737,407621.1230769231,266.03990000000016,2.467831898482453,0.3289723012241871,0.0,,0.11026955375382663,3.4810834049871024
31,3100,0.1902872984111309,tensor(0.4186),0.2201254940884756,0.9205788373947144,26048.149479166896,13.012900000000002,0.4168238785067603,0.1039701182486417,1.0,,0.11074179859226534,3.566638005159071
